mass,rel_intensity,rt,block,peak_status,read_rank,ladder_call,role
976.2489,1.0,1.9969,3,conflict_retained,1,conflict,primary_used
1305.3026,1.0,2.0428,4,conflict_retained,1,conflict,primary_used
1610.344,1.0,2.0761,5,conflict_retained,1,conflict,primary_used
1939.396,1.0,2.1191,6,conflict_retained,1,conflict,primary_used
2268.4506,1.0,2.1574,7,conflict_retained,1,conflict,primary_used
2597.5032,1.0,2.2023,8,conflict_retained,1,conflict,primary_used
2942.5528,1.0,2.2434,9,conflict_retained,1,conflict,primary_used
3287.6004,1.0,2.2774,10,conflict_retained,1,conflict,primary_used
3592.6438,1.0,2.3171,11,conflict_retained,1,conflict,primary_used
3937.691,1.0,2.3599,12,conflict_retained,1,conflict,primary_used
4282.7413,1.0,2.398,13,conflict_retained,1,conflict,primary_used
4627.7899,1.0,2.4395,14,conflict_retained,1,conflict,primary_used
4932.83,1.0,2.4789,15,conflict_retained,1,conflict,primary_used
5237.8742,1.0,2.5211,16,conflict_retained,1,conflict,primary_used
5566.935,1.0,2.5613,17,conflict_retained,1,conflict,primary_used
5895.9849,1.0,2.5988,18,conflict_retained,1,conflict,primary_used
10206.2352,1.0,4.9976,32,primary_used,5,3',primary_used
10511.2767,1.0,4.9734,33,primary_used,2,3',primary_used
10856.3242,1.0,4.9375,34,ambiguous_retained,6,ambiguous,primary_used
11162.3491,1.0,4.912,35,primary_used,5,3',primary_used
11491.402399999999,1.0,4.8816,36,primary_used,2,3',primary_used
11796.4439,1.0,4.8507,37,ambiguous_retained,6,ambiguous,primary_used
12141.4936,1.0,4.8207,38,primary_used,5,3',primary_used
12447.5317,1.0,4.7907,39,primary_used,2,3',primary_used
12792.5729,1.0,4.7602,40,ambiguous_retained,6,ambiguous,primary_used
13137.621500000001,1.0,4.7319,41,primary_used,5,3',primary_used
13442.664799999999,1.0,4.699,42,primary_used,2,3',primary_used
13748.6873,1.0,4.6681,43,ambiguous_retained,6,ambiguous,primary_used
14053.7268,1.0,4.6445,44,primary_used,5,3',primary_used
14359.7551,1.0,4.6129,45,primary_used,2,3',primary_used
14688.804199999999,1.0,4.579,46,primary_used,2,3',primary_used
15031.8729,1.0,4.5518,47,primary_used,2,3',primary_used
15360.9285,1.0,4.5224,48,primary_used,2,3',primary_used
15665.967499999999,1.0,4.4886,49,primary_used,2,3',primary_used
15971.9931,1.0,4.4594,50,primary_used,2,3',primary_used
19816.3185,1.0,7.9966,62,primary_used,3,5',primary_used
20122.3434,1.0,8.0265,63,primary_used,3,5',primary_used
20427.3849,1.0,8.0521,64,primary_used,3,5',primary_used
20733.4127,1.0,8.0755,65,primary_used,3,5',primary_used
21062.4644,1.0,8.0991,66,primary_used,3,5',primary_used
21367.5065,1.0,8.123,67,primary_used,3,5',primary_used
21712.5554,1.0,8.1489,68,primary_used,3,5',primary_used
22041.6079,1.0,8.1765,69,primary_used,3,5',primary_used
22347.6371,1.0,8.2,70,primary_used,3,5',primary_used
22652.6799,1.0,8.2263,71,primary_used,3,5',primary_used
22957.7238,1.0,8.2497,72,primary_used,3,5',primary_used
23263.745600000002,1.0,8.2748,73,primary_used,3,5',primary_used
23592.7997,1.0,8.2957,74,primary_used,3,5',primary_used
23935.8741,1.0,8.322,75,primary_used,3,5',primary_used
24280.9168,1.0,8.3473,76,primary_used,3,5',primary_used
24585.9625,1.0,8.3789,77,primary_used,3,5',primary_used
28625.1543,1.0,11.0022,89,primary_used,4,5',primary_used
28984.2177,1.0,10.9794,91,primary_used,4,5',primary_used
29290.2439,0.9704127203421178,10.959,92,primary_used,4,5',primary_used
29596.2695,1.0,10.9348,92,primary_used,4,5',primary_used
29939.3383,1.0,10.9207,94,primary_used,4,5',primary_used
30284.3865,0.9375859619938797,10.8957,95,primary_used,4,5',primary_used
30590.4123,1.0,10.8784,95,primary_used,4,5',primary_used
30919.4679,0.9207199191315747,10.8601,95,primary_used,4,5',primary_used
31225.4943,0.9153578224423589,10.8393,95,primary_used,4,5',primary_used
31554.5473,0.8169232078335833,10.8205,95,primary_used,4,5',primary_used
31899.5961,0.7865141695554305,10.8041,95,primary_used,4,5',primary_used
32205.6205,0.8014433151461088,10.7811,95,primary_used,4,5',primary_used
32550.6643,0.7480415858693511,10.7564,95,primary_used,4,5',primary_used
32895.7125,0.7340496448718673,10.7372,95,conflict_retained,7,conflict,primary_used
33203.7551,0.7620970085630105,10.7159,95,conflict_retained,7,conflict,primary_used
33548.8088,0.7404000698527378,10.6993,95,unused,,,
33877.8589,0.7603828528164419,10.677,95,conflict_retained,7,conflict,primary_used
