mass,rel_intensity,rt,block,peak_status,read_rank,ladder_call,role
976.2489,1.0,1.9969,3,conflict_retained,1,conflict,primary_used
1206.2352,0.9467549932615741,4.9976,4,primary_used,4,3',primary_used
1305.3026,1.0,2.0428,4,conflict_retained,1,conflict,primary_used
1511.2767,0.923467834066202,4.9734,5,primary_used,4,3',primary_used
1610.344,0.8409661707553694,2.0761,5,conflict_retained,1,conflict,primary_used
1625.1543,1.0,11.0022,5,conflict_retained,3,conflict,primary_used
1816.3185,1.0,7.9966,6,primary_used,2,5',primary_used
1856.3242,0.8364956248292098,4.9375,6,primary_used,4,3',primary_used
1939.396,0.8997580633178844,2.1191,6,conflict_retained,1,conflict,primary_used
1984.2177,0.9098901638137136,10.9794,6,unused,,,
2122.3434,1.0,8.0265,7,ambiguous_retained,5,ambiguous,primary_used
2162.3491,0.9686105335506584,4.912,7,primary_used,4,3',primary_used
2268.4506,0.9238022324490521,2.1574,7,conflict_retained,1,conflict,primary_used
2290.2439,0.9764534098289814,10.959,7,conflict_retained,3,conflict,primary_used
2427.3849,1.0,8.0521,8,ambiguous_retained,5,ambiguous,primary_used
2491.4024,0.9635624113991035,4.8816,8,primary_used,4,3',primary_used
2596.2695,0.996394325902274,10.9348,8,conflict_retained,3,conflict,primary_used
2597.5032,0.9244950085148257,2.2023,8,conflict_retained,1,conflict,primary_used
2733.4127,1.0,8.0755,9,primary_used,2,5',primary_used
2796.4439,0.9825089696056521,4.8507,9,primary_used,4,3',primary_used
2939.3383,0.9308684048782861,10.9207,9,conflict_retained,3,conflict,primary_used
2942.5528,0.9254066022308097,2.2434,9,conflict_retained,1,conflict,primary_used
3062.4644,1.0,8.0991,10,primary_used,2,5',primary_used
3141.4936,0.8997572077706398,4.8207,10,primary_used,4,3',primary_used
3284.3865,0.8953015300625855,10.8957,10,unused,,,
3287.6004,0.8808281895420307,2.2774,10,conflict_retained,1,conflict,primary_used
3367.5065,1.0,8.123,11,primary_used,2,5',primary_used
3447.5317,0.9218045307600883,4.7907,11,primary_used,4,3',primary_used
3590.4123,0.9616928824429457,10.8784,11,conflict_retained,3,conflict,primary_used
3592.6438,0.876136771149772,2.3171,11,conflict_retained,1,conflict,primary_used
3712.5554,0.959881100117698,8.1489,12,primary_used,2,5',primary_used
3792.5729,0.9312808681193401,4.7602,12,primary_used,4,3',primary_used
3919.4679,0.9980811457246599,10.8601,12,conflict_retained,3,conflict,primary_used
3937.691,1.0,2.3599,12,conflict_retained,1,conflict,primary_used
4041.6079,1.0,8.1765,13,primary_used,2,5',primary_used
4137.6215,0.9504083716440375,4.7319,13,primary_used,4,3',primary_used
4225.4943,0.9490087659886142,10.8393,13,conflict_retained,3,conflict,primary_used
4282.7413,0.9177768039807501,2.398,13,conflict_retained,1,conflict,primary_used
4347.6371,0.9620642410346693,8.2,14,primary_used,2,5',primary_used
4442.6648,0.9896848103905168,4.699,14,primary_used,4,3',primary_used
4554.5473,0.920900268725758,10.8205,14,unused,,,
4627.7899,1.0,2.4395,14,conflict_retained,1,conflict,primary_used
4652.6799,0.9813710034808747,8.2263,15,primary_used,2,5',primary_used
4748.6873,0.9720247134723721,4.6681,15,primary_used,4,3',primary_used
4899.5961,0.9338207395282659,10.8041,15,conflict_retained,3,conflict,primary_used
4932.83,0.9920371907321288,2.4789,15,conflict_retained,1,conflict,primary_used
4957.7238,1.0,8.2497,15,primary_used,2,5',primary_used
5053.7268,0.939255160402967,4.6445,16,primary_used,4,3',primary_used
5205.6205,1.0,10.7811,16,conflict_retained,3,conflict,primary_used
5237.8742,0.9623743231952312,2.5211,16,conflict_retained,1,conflict,primary_used
5263.7456,0.9952724103419595,8.2748,16,primary_used,2,5',primary_used
5359.7551,1.0,4.6129,17,primary_used,4,3',primary_used
5550.6643,0.9389834279889779,10.7564,17,ambiguous_retained,6,ambiguous,primary_used
5566.935,0.8912810442696447,2.5613,17,conflict_retained,1,conflict,primary_used
5592.7997,0.9810353246947953,8.2957,17,primary_used,2,5',primary_used
5688.8042,1.0,4.579,18,primary_used,4,3',primary_used
5895.7125,0.9656430238744679,10.7372,18,conflict_retained,3,conflict,primary_used
5895.9849,0.9979433544268644,2.5988,18,conflict_retained,1,conflict,primary_used
5935.8741,0.9545198114655941,8.322,19,primary_used,2,5',primary_used
6031.8729,0.9783306229887526,4.5518,19,primary_used,4,3',primary_used
6203.7551,1.0,10.7159,19,conflict_retained,3,conflict,primary_used
6280.9168,1.0,8.3473,20,primary_used,2,5',primary_used
6360.9285,0.8909055988049246,4.5224,20,primary_used,4,3',primary_used
6548.8088,0.9231370872452693,10.6993,20,ambiguous_retained,6,ambiguous,primary_used
6585.9625,0.9231409242884497,8.3789,21,primary_used,2,5',primary_used
6665.9675,0.8341692896777458,4.4886,21,primary_used,4,3',primary_used
6877.8589,1.0,10.677,21,conflict_retained,3,conflict,primary_used
6971.9931,1.0,4.4594,22,primary_used,4,3',primary_used
